SponsorId,FullName,Status,SponsoringLevel,LogoFileName,URL,BoothId,OnTheBooth,Industries
OPENHW,OpenHW Foundation,OkToPublish,Silver,,https://openhwfoundation.org/,15,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,Platinium,,,,,
,,NotYet,,,,,,
,,NotYet,,,,,,
